"Input"	"Output"	"Source_1"	"Context_1"	"Source_2"	"Context_2"	"Source_3"	"Context_3"	"Source_4"	"Context_4"	"Source_5"	"Context_5"
"立体交差において、連結路（ランプ）の設計速度は、最も高い場合で何km/h以下と規定されていますか？"	"立体交差における連結路（ランプ）の設計速度は、連結する道路の区分や設計速度に応じて設定されますが、規定されている範囲で最も高い設計速度は**80km/h**です。"	"【日本道路協会】道路構造令の解説と運用（令和3年）_R3年3月-20.pdf"	"ランプの設計速度 (km/h)... 上級道路の区分 第1種・第2種道路... 120 100 80 60 50 40 ... 下 級 道 路 第 種 第 2 種 道 路 80 60 50 (40) ... 70 60 50 40 ... 60 50 40 35... 50 40 ... 40 35 30 25... 40 35 30... 40 35 ... 40 35 30 25... 40 35 30 25... 30 25... 30 25 ... 30 25 ... 40 35 30 25... 40 35 30 25... 40 35 30 25... 40 35 30 25... 40 35 30 25... 40 35 30 25 ... 50 40 35 30... 50 40 35 30... 50 40 35 30... 40 35 30 25... 40 35 30 25... 40 35 30 25... 40 35 30 25... 30 25... 30 25... 30 25... 40 35 30 25... 40 35 30 25... 40 35 30 25... 40 35 30 25... 30 25... 30 25... 30 25 ... この表において,上級道路とは,設計速度の高い側の道路,ある -567 — [22]"	"【日本道路協会】道路構造令の解説と運用（令和3年）_R3年3月-21.pdf"	"ランプの最小曲線半径は,インターチュンジの規模を決定する重要な要素であ り,また交通の安全性に与える影響も大きい。 最小曲線半径は,付すことのできる最大片勾配の値,横すべり摩擦係数の許容 可能な最大値により,走行速度ごとに求めることができる。 ... 80 60 50 40 35 30 25 ... 最小曲線半径(m) 280 140 90 50 40 30 20 [23]"	"道路構造令に基づく設計速度60km/hの道路平面線形設計に関する包括的調査報告書.pdf"	"表2:設計速度60km/hにおける視距要件
視距の種類
必要距離(m)
制動停止視距
75 m"	"01_総則_愛知_設計手引き）.pdf"	"最小曲線半径(m)
設計速度
信号交差点および一時停
止制御交差点の主道路
標準値 特例値
80 **280** 230
60 **150** 120
50 **100** 80
40 **60** 50
30 **30** 30
20 **15** 15"	"道路構造令の解説と運用（令和3年）_R3年3月-16.pdf"	"設計 速度 (単位1時間につきキロメート ル)
120 凸形曲線 11,000 凹形曲線 4,000
100 lnl形曲線 6,500 凹形曲線 3,000
80 凸形曲線 **3,000** 凹形曲線 2,000
60 凸形曲線 1,400 凹形曲線 1,000"
"修繕時における残存等値換算厚($T_{AO}$)の計算に用いる換算係数について、ひび割れ率が35.0%以上の場合の加熱アスファルト混合物層の係数はいくつですか？"	"修繕時における残存等値換算厚($T_{AO}$)の計算に用いる換算係数について、ひび割れ率が**35.0%以上**の場合、表層・基層の加熱アスファルト混合物層の換算係数は**0.50**です。"	"福島県＿道路設計マニュアル506580.pdf"	"表2-4-3 TAOの計算に用いる換算係数|ひび割れ率<br>(%): **35.0以上**|表層·基層<br>加熱<br>アスコン: **0.50**|"	"国総研＿舗装設計ks0285004.pdf"	"必要アスファルト等値換算舗装厚」の算定は式 (8) によるものとする[54], [55]。$T_{A}=rac{3.84N^{0.16}}{CBR^{0.3}}$ (8)...ここに、**$T_{A}$**:必要アスファルト等値換算舗装厚(cm)、**N**:設計供用期間における設計荷重の作用回数 n を49kN 輪荷重に換算した数値で、式(9)によるものとした[54], [55]。**CBR**:路床の設計CBR[54], [55]。"	"国総研＿舗装設計ks0285004.pdf"	"設定した断面のアスファルト等値換算舗装厚 $T_{A}^{prime}$ の算定は式 (10) によるものとした。[54], [55]"	"国土交通省＿舗装＿s-2904-3-01.pdf"	"不陸整正...(2)路床面又は路盤面の3次元計測データ並びに3次元設計データ若しくは不陸整正の3次元計<br>測データがある場合における補修材の平均厚さの算出は、以下のとおりとする...数量算出に用いる3次元点群座標データは、**50cm間隔以下**の点密度とする。ただし、植生<br>等により測定した点が正しく地表を捉えられず、標準の点密度の取得が困難な場合には、この<br>限りでない。"	"車道及び側帯の舗装の構造の基準に関する省令.docx"	"表1-1 舗装各層に用いる材料・工法の等値換算係数|使用する層: 表層基層, 材料・工法: 加熱アスファルト混合物, 品質規格: ストレートアスファルトを使用混合物の性状は表1-2による。|等値換算係数a: 1.00|[53]"
"歩行者等の転落防止を目的とするP種の歩行者自転車用柵の最小設計強度（水平荷重）は何N/m以上ですか？"	"歩行者等の転落防止を目的とするP種の歩行者自転車用柵に要求される最小水平荷重は**390N/m以上**です。"	"06_交通安全（愛知_設計手引き）.pdf"	"表5.4 種別毎の設計強度
種別：P
設計強度：垂直荷重 590N/m 以上
設計強度：**水平荷重 390N/m 以上**
設置する目的: 転落防止, 横断防止"	"防護柵設置基準.pdf"	"歩行者等の転落防止を目的として設置する柵の路面から柵面の上端までの高さは、原則として1.0m以下とするとしている。"	"防護柵設置基準.pdf"	"歩行者自転車用柵は、設計強度や設置目的(横断防止や転落防止)に応じて種
別を定め、その種別に応じた設計強度に対して塑性変形しない性能を有するもの
でなければならない。"	"防護柵設置基準.pdf"	"歩行者自転車用防護柵は、原則として種別Pを適用するものとし、歩行者等
の滞留が予想される区間にある程度の高さを確保する転落防止を目的とした柵、
景観対策が可能な柵、景観阻害とならない柵など、あるいは、歩道等の狭隘な
幅員において、歩行者等の安全を確保すべきと認められる区間に設置する。
... 1) 歩行者等の**転落防止**を目的として路側又は歩道、自転車歩行者専用道路に設置する区間
2) 歩行者等の**横断防止**を目的として車道側に設置する区間"	"防護柵設置基準.pdf"	"歩行者、自転車の転落防止機能を付加した場合の高さは、歩行者自転車用柵 (転落防止)の形状に準拠する。"
"排水性舗装工の施工において、ポーラスアスファルト混合物の適切な「混合温度」と「初期転圧温度」の範囲を示してください。"	"ポーラスアスファルト混合物の混合温度は、アスファルトの動粘度が150〜300cStを示す温度範囲（**170〜185℃**）の中から決定し、初期転圧温度は一般に**140〜160℃**が目安とされています[47]。"	"大阪市＿舗装01R030302112004-1.pdf"	"アスファルトの動粘度が150~300cStを示す温度範囲 (**170~185℃**)の中から混合温度を決定し... ポーラスアスファルト舗装用混合物の**初期転圧温度**(一般に**140~160℃**)は、通常の混合物により高い温度が必要であり...[47]"	"アスファルト舗装材料の種別と特性.docx"	"排水性舗装（ポーラスアスファルト混合物）には、この**H型**の使用が原則（事実上の必須）となっている[21]。軟化点は**80℃以上**を要求される[21]。"	"アスファルト舗装材料の種別と特性.docx"	"排水性舗装（ポーラスアスファルト混合物）には、このH型の使用が原則（事実上の必須）となっている1。[9]"	"アスファルト舗装材料の種別と特性.docx"	"ポーラスアスファルト混合物（Porous Asphalt Concrete）... 粒度特性 : 2.36mm以下の細骨材分を極端に減らした「開粒度（Open Graded）」配合であり、空隙率は約20%（一般のアスコンの約5倍）となるように設計される[25]。"	"アスファルト舗装材料の種別と特性"	"排水性舗装（ポーラスアスファルト）は、空隙率20%というスカスカの構造（骨材の点接触構造）を持つため、通常のバインダでは骨材が容易に飛散（ラベリング）してしまう。これを防ぐために開発された特殊バインダである... 排水性舗装（ポーラスアスファルト混合物）には、このH型の使用が原則（事実上の必須）となっている[7]"
"排水性舗装（ポーラスアスファルト）の骨材飛散対策として必須とされる改質アスファルトH型は、どのような特性を持つバインダですか？"	"改質アスファルトH型は、**60℃粘度がきわめて高く、水飴のような強力な粘着力**と、**ゴムのような高い弾性回復性（タフネス・テナシティ）**を併せ持つバインダです[7, 9]。また、**軟化点は80℃以上**を要求されます[7, 9]。"	"アスファルト舗装材料の種別と特性"	"60℃粘度がきわめて高く、水飴のような強力な粘着力と、ゴムのような高い弾性回復性（タフネス・テナシティ）を併せ持つ。かつては「高粘度改質」と呼ばれていたが、現在はその高弾性特性から「H型（High modulus/High elasticity）」と分類される2。軟化点は80℃以上を要求される2。[7]"	"アスファルト舗装材料の種別と特性.docx"	"特性 : 60℃粘度がきわめて高く、水飴のような強力な粘着力と、ゴムのような高い弾性回復性（タフネス・テナシティ）を併せ持つ。軟化点は80℃以上を要求される2。[9]"	"透水性_排水性舗装＿日本アスファルト協会215.pdf"	"小規模なポットホールや骨材飛散を対象とした補修材としては，**エポキシ樹脂**をバインダとしたポーラスな常温混合物が開発されている33）34）。これらは，硬化した混合物が，通常，排水性混合物より大きな骨材飛散抵抗性等を示す33）34）。[52]"
"目標動的安定度（DS）を算出する式（DS=0.679 (Y L W V T/D) 1.02）において、一般部と交差点部の速度補正係数（V）はそれぞれいくつですか？"	"目標動的安定度（DS）の算出式における走行速度補正係数（V）は、**一般部で0.4**、**交差点部で0.9**と定められています。"	"福島県＿道路設計マニュアル506580.pdf"	"表2-4-14 走行速度補正係数(V)|種<br>別: 一<br>般<br>部|補正係数: **0.4**|種<br>別: 交<br>差点<br>部|補正係数: **0.9**|"	"大阪市＿舗装01R030302112004-1.pdf"	"表3-2-7 ポーラスアスファルト混合物の目標値|項目: 動的安定度(DS) 回/mm, 目標値: 一般部 4,000程度, 交差点部 5,000程度|[10]... [注1] 突き固め回数は両面各50回とする。(動的安定度は、N7交通の場合を示している。他はわだち掘れ対策に準ずる。)[10]"	"透水性_排水性舗装＿日本アスファルト協会215.pdf"	"舗装内の水の流れに**ダルシーの法則（v＝k・i v：浸透速度（b/s），k：透水係数，i：動水勾配）**が適用できるものとし，かつｉ＝１と仮定する5）。[84]"	"車道及び側帯の舗装の構造の基準に関する省令.docx"	"区分: 第一種、第二種、第三種第一級及び第二級並びに第四種第一級, 舗装計画交通量(単位 一日につき台): 三、〇〇〇以上, 塑性変形輪数(単位 一ミリメートルにつき回): **三、〇〇〇**"	"道路構造令の解説と運用（令和3年）_R3年3月-12.pdf"	"区 分 設計速度 (単位1時間につき キロメートル) 縦断S配 (単位パーセント)
第1種,第2種 及び第3種
普通道路
120 2 5
100 3 6
80 4 7"
"舗装の維持工法と修繕工法の区別について、それぞれの目的を説明してください。"	"舗装の**維持工法**は、舗装の供用性能の保持または若干の向上を目的として行う行為で、**構造的な強化を目的としない**ものです。一方、**修繕工法**は、舗装の**構造強化等**を目的とし、大幅に供用性能を回復する行為を指します。"	"福島県＿道路設計マニュアル506580.pdf"	"維持･･････舗装の供用性能の保持または若干の向上を目的として行う行為で、**構造的な強化を目的としない**ものをいう。例えば、目地の充填、パッチング、薄層オーバーレイ等がこれにあたる。修繕･･････舗装の**構造強化等**を目的とするもので、大幅に供用性能を回復する行為をいう。例えば、オーバーレイ、切削オーバーレイ、打換えなどがこれにあたる。"	"国土交通省＿舗装＿s-2904-3-01.pdf"	"区分は、施工箇所、舗装厚、規格、施工方法とする。"	"04_舗装（愛知_設計手引き）.pdf"	"舗装構造を短区間で変えることは、施工が繁雑となるので好ましくない。舗装構造は**少なくとも200mの区間は変えないように設計することが望ましい**。"	"舗装の要求性能の整理と設計体系のあり方 基本方針まとめ.pdf"	"舗装構造が有すべき性能のうち,「舗装の構造に関する技術基準」(平成13年
6月29日都市・地域整備局長・道路局長通達)において必須の性能指標として
次のi)へ・iii)が,また南水を道路の路面ドに円滑に浸透させることができる構
造の場合はiv)を追加した性能指標が定められている。
i) **疲労破壊に対する耐久性〔疲労破壊輪数** )
ii) **わだち掘れに対する抵抗力(塑性変形輪数** )
in) **路面の平坦性**"
"交通区分N6の道路において、上層路盤に瀝青安定処理工法を用いる場合の、表層と基層を加えた最小厚さ（加熱アスファルト混合物）は、特例値として何cmが許容されますか？"	"交通区分N6の道路において、上層路盤に瀝青安定処理工法を用いる場合の、表層と基層を加えた最小厚さは、特例値として**10cm**が許容されます[11]。"	"04_舗装（愛知_設計手引き）.pdf"	"表3.11 表層と基層の最小厚(交通区分 N7~N5)
交通区分：N6
表層と基層を加えた最小厚さ(cm)：15 (10) (※)
[※] ( )内は、**上層路盤に瀝青安定処理工法およびセメント・瀝青安定処理工法を用いる場合の最小厚さ**を示す。"	"福島県＿道路設計マニュアル506580.pdf"	"表2-1-8 表層と基層を加えた最小厚さ|交通量区分: N7|舗装計画交通量<br>(単位:台/日・方向): 3,000以上|表層と基層を加えた<br>最小厚さ(cm): 20 **(15)**| (注1) ( )内は上層路盤に瀝青安定処理工法およびセメント・瀝青安定処理工法を用いる場合の最小厚さを示す。"	"アスファルト舗装材料の種別と特性.docx"	"N5区間（瀝青安定処理路盤の採用）: N5クラスの疲労破壊輪数（100万回）に耐えるためには、表層・基層だけでは剛性が不足する。そのため、上層路盤に「瀝青安定処理路盤（Bituminous Stabilized Base）」を採用している。この材料は、骨材とアスファルトを加熱混合したもので、等値換算係数（Ta法における強度係数）が 0.80 と極めて高い（粒状路盤は0.35）1。これにより、**舗装全体の剛性を飛躍的に高め、表層のひび割れを防いでいる**。"	"アスファルト舗装材料の種別と特性.docx"	"N5区間（瀝青安定処理路盤の採用）: N5クラスの疲労破壊輪数（100万回）に耐えるためには、表層・基層だけでは剛性が不足する[29]。そのため、上層路盤に**「瀝青安定処理路盤（Bituminous Stabilized Base）」**を採用している[29]。この材料は、骨材とアスファルトを加熱混合したもので、等値換算係数（Ta法における強度係数）が **0.80** と極めて高い（粒状路盤は0.35）[29]。"	"車道及び側帯の舗装の構造の基準に関する省令.docx"	"表1-3 表層と基層を加えた最小厚さ|舗装計画交通量(台/日): 3,000≦T|表層と基層を加えた最小厚さ(cm): 20 **(15)**|注: 上層路盤に瀝青安定処理工法を用いる場合は、( )内の厚さまで低減することができる。"
"ストレートアスファルト 60-80が標準的に使用される交通量区分（N区分）の範囲と、その適用箇所を説明してください。"	"ストレートアスファルト 60-80は、**交通量区分N1からN4**（軽交通から中交通）の道路の表層および一般的な基層材料として広く使用されます[16]。また、歩道や駐車場などの軽荷重舗装の標準材料でもあり、N4以下の路線ではコスト縮減のため、この材料の使用が許容されています[16]。"	"アスファルト舗装材料の種別と特性.docx"	"適用箇所 : **交通量区分N1〜N4**（軽交通から中交通）の表層、および一般的な基層材料として広く使用される[16]。また、歩道や駐車場などの軽荷重舗装の標準材料である[16]。実務上、N4以下の路線では、過剰品質を避けるために本材料（またはこれを用いた再生材）の使用が許容されている[16]。"	"アスファルト舗装材料の種別と特性"	"ストレートアスファルト 60-80: 交通量区分N1〜N4（軽交通から中交通）の表層、および一般的な基層材料として広く使用される。[10]"	"福島県＿道路設計マニュアル506580.pdf"	"表2-1-8 表層と基層を加えた最小厚さ|交通量区分: N7|舗装計画交通量<br>(単位:台/日・方向): 3,000以上|表層と基層を加えた<br>最小厚さ(cm): 20 **(15)**| (注1) ( )内は上層路盤に瀝青安定処理工法およびセメント・瀝青安定処理工法を用いる場合の最小厚さを示す。"	"福島県＿道路設計マニュアル506580.pdf"	"アスファルト舗装の設計において、交通荷重が舗装の破壊に及ぼす程度はその荷重の大きさの4乗に比例するとの考えのもと、すべての輪荷重を49ｋN（5tf）の輪数に換算した値が設計条件として考慮される"	"国総研＿舗装設計ks0285004.pdf"	"アスファルト舗装の設計においては，交通荷重が舗装の破壊に及ぼす程度はその荷重の大きさの4乗に比例するとの考えのもと，すべての輪荷重を49ｋN（5tf）の輪数に換算した値が設計条件として考慮される．[6, 11, 12]"
"粒度調整砕石（M-40, M-30）に路盤材として求められる支持力（修正CBR）の基準値を示してください。"	"粒度調整砕石（M-40, M-30）は、十分な締め固めにより**修正CBR 80以上**の支持力を発揮することが求められており、上層路盤の主力材料として使用されます[35]。"	"アスファルト舗装材料の種別と特性.docx"	"粒度調整砕石（M-40, M-30）: 原石を破砕・粒度調整したもの。十分な締め固めにより **修正CBR 80以上** の支持力を発揮する[35]。上層路盤の主力材料である[35]。"	"アスファルト舗装材料の種別と特性"	"N4区間（粒状路盤の採用）: 要求性能が低いため、上層路盤には安価な「粒度調整砕石（Mechanically Stabilized Crushed Stone: M-40）」が使用される。等値換算係数は0.35であるが、N4レベルの荷重であれば、これで十分な厚さを確保することで経済的な設計が可能となる。[30]"	"04_舗装（愛知_設計手引き）.pdf"	"路床の置換工法において、置換材料として良質な盛土材料や砕石等の粒状材料を使用する場合、その修正CBRが**20を超える場合は、20として評価**するものとする。"	"国総研＿舗装設計ks0285004.pdf"	"表-3 等值換算係数|工法,材料: 表層,基層用加熱アスファルト混合物, 条件: —|等值換算係数: **1.00**|備考: AC I ~ACIV|...|工法,材料: 粒度調整, 条件: 修正 CBR 80以上|等值換算係数: **0.35**|備考: 粒調材|[51], [52]"	"国総研＿舗装設計ks0285004.pdf"	"路床の設計支持力係数K30の設定にあたっては、JIS A 1215に規定にされている平板載荷試験により求めることができる。ここで、設計支持力係数K30は、一般に、沈下量**0.125cm**に対応する値として設定する。"
"透水性舗装の一時貯留効果について、舗装体内の雨水の浸透速度を計算するための前提となる法則を説明してください。"	"透水性舗装の一時貯留効果における舗装内の水の浸透速度を計算する際には、**ダルシーの法則（v＝k・i）**が適用できるものと仮定されています。ここでvは浸透速度、kは透水係数、iは動水勾配です[84]。"	"透水性_排水性舗装＿日本アスファルト協会215.pdf"	"舗装内の水の流れに**ダルシーの法則（v＝k・i v：浸透速度（b/s），k：透水係数，i：動水勾配）**が適用できるものとし，かつｉ＝１と仮定する5）。[84]"	"アスファルト舗装材料の種別と特性.docx"	"不透水性（防水性）: 一般的な密粒度舗装においては、雨水が舗装内部に浸透し、下層の路盤や路床を軟化させることを防ぐため、水密性が求められる。[12]"	"福島県＿道路設計マニュアル506580.pdf"	"排水性舗装は、雨水等を路面に滞らせることなく、路側あるいは路肩等に速やかに排水することを目的として... 舗装帯としての耐久性の確保のため、路盤以下への水が浸透しない構造となっている... 排水機能層の下の層には、雨水が浸透しない不透水性の層を設ける... アスファルト混合物(不透水性の層)[16-18]"	"舗装の要求性能の整理と設計体系のあり方 基本方針まとめ.pdf"	"舗装構造が有すべき性能のうち,「舗装の構造に関する技術基準」(平成13年
6月29日都市・地域整備局長・道路局長通達)において必須の性能指標として
次のi)へ・iii)が,また南水を道路の路面ドに円滑に浸透させることができる構
造の場合はiv)を追加した性能指標が定められている。
iv) **雨水等の浸透能力(浸透水量** )"	"車道及び側帯の舗装の構造の基準に関する省令.docx"	"1)の疲労破壊輪数は、舗装の設計期間が10年以外である場合においては、1)の表の右欄に掲げる値に、当該設計期間の**10年に対する割合を乗じた値以上**とするものとする。[19]"
"都市部に存在する都道府県道で、計画交通量が4,000台/日以上10,000台/日未満の場合、道路の級別は何級になりますか？"	"都市部に存在する都道府県道で、計画交通量が4,000台/日以上10,000台/日未満の場合、道路の級別は**第2級**になります。"	"【日本道路協会】道路構造令の解説と運用（令和3年）_R3年3月-5.pdf"	"四第4種の道路 計画交通量 単位1yにつき台) 道路の種類—-ーーー 10,000 以 K 4,000以 ヒ 10,000 未満 500以上 4,000未 満 500未 満... 都 道 府 県 道 第級 第2 級 第 3 級 [3]"	"02_道路幅員（愛知_設計手引き）.pdf"	"表3.2 第3種及び第4種道路の級別表... 第4種の道路 | 計画交通量<br>単位 1日につき台)<br>道路の種類<br>( | 10,000以上 | | 4,000以上<br>10,000未満 | 500以上<br>4,000未満 | | 500未満 |... 都道府県道 | 第1級 | | 第2級 | 第 | 3 | 級 | [4]"	"車道及び側帯の舗装の構造の基準に関する省令.docx"	"道路の区分が「第一種、第二種、第三種第一級及び第二級並びに第四種第一級」に該当する場合、舗装計画交通量が100台/日未満の道路に適用される疲労破壊輪数の基準値は、30,000回/10年以上です。[24]"	"車道及び側帯の舗装の構造の基準に関する省令.docx"	"区分: 第一種、第二種、第三種第一級及び第二級並びに第四種第一級, 舗装計画交通量(単位 一日につき台): 三、〇〇〇以上, 塑性変形輪数(単位 一ミリメートルにつき回): **三、〇〇〇**"	"【日本道路協会】道路構造令の解説と運用（令和3年）_R3年3月-8.pdf"	"5第3種第5級の普通道路の車道(自転車通行帯を除く。)の幅員は,**4 メートル**とするものとする。ただし,当該普通道路の計画交通景が極めて少なく,かつ,地形の状況その他の特別の理^に よりやむを得ない場合又は第31条の2の規定により車道に狭窄部を設ける場合においては,**3 メートル**とすることができる。 [10]"
